               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032158,            0.047964,           0.0063573,             0.87541,             0.77888,             0.88063,             0.56134,            0.030341,            0.028106,             0.01058,            0.002855,            0.002855,            0.002855
                  37,             0.03171,            0.050652,           0.0054772,             0.81605,             0.84036,             0.89165,             0.57266,            0.030056,            0.027558,           0.0085979,           0.0026316,           0.0026316,           0.0026316
                  38,            0.032345,            0.048821,           0.0062638,              0.8025,             0.84017,             0.88911,             0.56484,            0.030284,             0.02831,           0.0078404,           0.0024195,           0.0024195,           0.0024195
                  39,            0.032182,              0.0494,           0.0056242,             0.85339,             0.80131,             0.88047,             0.56228,            0.030059,            0.027911,            0.010095,           0.0022196,           0.0022196,           0.0022196
                  40,            0.031554,            0.046348,           0.0062027,             0.80756,             0.85169,             0.88583,             0.56613,            0.029757,            0.027946,           0.0080808,           0.0020327,           0.0020327,           0.0020327
                  41,            0.031502,             0.05004,           0.0052666,             0.84364,             0.81768,             0.88228,             0.55937,            0.029763,            0.027865,            0.008197,           0.0018594,           0.0018594,           0.0018594
                  42,            0.031744,            0.047934,           0.0056259,             0.84386,             0.82918,               0.889,             0.56793,            0.029871,            0.028102,           0.0082553,           0.0017005,           0.0017005,           0.0017005
                  43,            0.031396,            0.047279,            0.005686,             0.88794,             0.78688,             0.88825,             0.56605,            0.029994,            0.028204,           0.0072699,           0.0015566,           0.0015566,           0.0015566
                  44,            0.031159,            0.047856,           0.0051256,              0.8958,             0.77916,             0.88649,             0.57172,              0.0299,            0.028178,           0.0079134,           0.0014283,           0.0014283,           0.0014283
                  45,            0.030573,            0.044716,           0.0051379,              0.8965,              0.7745,             0.89098,             0.57381,            0.030055,            0.028147,            0.007122,            0.001316,            0.001316,            0.001316
                  46,            0.030997,            0.047475,           0.0052127,             0.85344,             0.80827,             0.89237,             0.57419,            0.029805,            0.027975,           0.0066858,           0.0012202,           0.0012202,           0.0012202
                  47,            0.030645,            0.053291,           0.0050289,             0.83052,             0.82675,             0.88296,             0.56143,            0.029839,             0.02824,           0.0064121,           0.0011414,           0.0011414,           0.0011414
                  48,            0.031288,            0.050492,            0.005437,             0.84554,             0.82977,             0.88303,             0.56554,            0.029772,            0.028024,           0.0065013,           0.0010797,           0.0010797,           0.0010797
                  49,            0.031049,            0.051745,           0.0053852,             0.85178,             0.82892,              0.8857,             0.56778,            0.029877,            0.028081,           0.0070054,           0.0010355,           0.0010355,           0.0010355
